step,action,ucb_score,objective_before,objective_after,reward,accepted,moves,feasible,action_runtime_sec,cumulative_runtime_sec,context,termination_reason,profile,method,instance,instance_seed,construction_source
4,relocate,0.843026053621423,407.6240044690671,407.6240044690671,0.0,False,0,True,0.0010672089993022382,0.003219124995666789,"{'instance': 'synthetic_evrptw_n20_seed20280816_baseline', 'scale': 20, 'seed': 20280816, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280816_baseline,20280816,composite
5,two_opt,0.8880453688256637,407.6240044690671,407.6240044690671,0.0,False,0,True,0.0002733750006882474,0.0034924999963550363,"{'instance': 'synthetic_evrptw_n20_seed20280816_baseline', 'scale': 20, 'seed': 20280816, 'source': 'composite'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280816_baseline,20280816,composite
6,swap,0.676342469429605,407.6240044690671,407.6240044690671,0.0,False,0,True,0.00040691600224818103,0.0038994159986032173,"{'instance': 'synthetic_evrptw_n20_seed20280816_baseline', 'scale': 20, 'seed': 20280816, 'source': 'composite'}",patience,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280816_baseline,20280816,composite
0,two_opt,,485.752264050886,485.752264050886,0.0,False,0,True,0.0004117500029678922,0.0004117500029678922,"{'instance': 'synthetic_evrptw_n20_seed20280817_baseline', 'scale': 20, 'seed': 20280817, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280817_baseline,20280817,nearest
1,relocate,,485.752264050886,471.0782387598516,0.03020886648815949,True,2,True,0.0012311669997870922,0.0016429170027549844,"{'instance': 'synthetic_evrptw_n20_seed20280817_baseline', 'scale': 20, 'seed': 20280817, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280817_baseline,20280817,nearest
2,swap,,471.0782387598516,471.0782387598516,0.0,False,0,True,0.0004559580011118669,0.0020988750038668513,"{'instance': 'synthetic_evrptw_n20_seed20280817_baseline', 'scale': 20, 'seed': 20280817, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280817_baseline,20280817,nearest
3,relocate,0.7639118182659029,471.0782387598516,463.1795262788046,0.016767304942467677,True,1,True,0.0012410409981384873,0.0033399160020053387,"{'instance': 'synthetic_evrptw_n20_seed20280817_baseline', 'scale': 20, 'seed': 20280817, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280817_baseline,20280817,nearest
4,two_opt,0.8241870157608322,463.1795262788046,463.1795262788046,0.0,False,0,True,0.0003379580011824146,0.0036778740031877533,"{'instance': 'synthetic_evrptw_n20_seed20280817_baseline', 'scale': 20, 'seed': 20280817, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280817_baseline,20280817,nearest
5,swap,0.8880453688256637,463.1795262788046,463.1795262788046,0.0,False,0,True,0.0004682500002672896,0.004146124003455043,"{'instance': 'synthetic_evrptw_n20_seed20280817_baseline', 'scale': 20, 'seed': 20280817, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280817_baseline,20280817,nearest
6,relocate,0.6860445512040094,463.1795262788046,463.1795262788046,0.0,False,0,True,0.0012107080001442228,0.005356832003599266,"{'instance': 'synthetic_evrptw_n20_seed20280817_baseline', 'scale': 20, 'seed': 20280817, 'source': 'nearest'}",,baseline,E_adaptive_portfolio,synthetic_evrptw_n20_seed20280817_baseline,20280817,nearest
